차량명,연식,주행거리,가격
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 2월식,"131,730km","2,060만원"
르노코리아(삼성) SM3 네오 SE,18년 6월식,"49,112km",590만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 더 뉴 그랜저 가솔린 2.5 르블랑,22년 2월식,"87,906km","2,400만원"
기아 더 뉴 스포티지 R 디젤 2WD 트렌디,15년 3월식,"74,277km",990만원
기아 올 뉴 K3 럭셔리,19년 1월식,"110,234km","1,030만원"
현대 엑센트(신형) 1.6 GDI 블루세이버,13년 4월식(14년형),"149,495km",490만원
벤츠 GLA-클래스 X156 GLA220 프리미엄,19년 7월식,"72,802km","1,860만원"
현대 올 뉴 투싼 TL 디젤 1.6 2WD 프리미엄,19년 7월식,"118,831km","1,520만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 9월식(18년형),"113,186km","1,250만원"
현대 더 뉴 맥스크루즈 디젤 2.2 2WD 익스클루시브 스페셜,16년 10월식(17년형),"137,029km","1,280만원"
제네시스 EQ900 3.8 GDI 럭셔리,18년 11월식,"76,942km","2,190만원"
현대 쏘나타 DN8 2.0 가솔린 모던,22년 7월식,"93,182km","1,630만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 AWD 프리미엄,19년 1월식,"126,832km","1,740만원"
현대 디 올 뉴 싼타페 하이브리드 터보 1.6 하이브리드 AWD 캘리그래피,24년 2월식,"21,678km","4,130만원"
BMW X1 (F48) xDrive 20i xLine,22년 7월식,"45,080km","3,090만원"
르노코리아(삼성) 더 뉴 QM6 LPG 2WD(일반인판매용) 2.0 LPe RE,19년 10월식(20년형),"106,781km","1,390만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 세부등급 없음,16년 11월식(17년형),"109,426km",790만원
현대 코나 1.6 터보 2WD 프리미엄,19년 5월식,"56,008km","1,490만원"
