차량명,연식,주행거리,가격
현대 더 뉴 아반떼 AD 1.6 프리미엄,18년 12월식(19년형),"96,723km","1,300만원"
KG모빌리티(쌍용) 코란도 스포츠 CX5 2WD 클럽,16년 6월식,"39,140km",910만원
현대 코나 1.6 터보 2WD 모던 초이스,20년 7월식,"42,526km","1,690만원"
기아 더 뉴 모닝 (JA) 가솔린 1.0 프레스티지,24년 1월식,"7,219km","1,460만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 프레스티지,23년 1월식,"40,671km","2,830만원"
벤츠 E-클래스 W213 E220d 아방가르드,18년 3월식,"109,603km","2,030만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.3 RE,22년 6월식,"22,333km","1,830만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 1월식,"68,413km","1,650만원"
기아 스토닉 1.4 가솔린 트렌디,18년 8월식(19년형),"87,664km","1,160만원"
KG모빌리티(쌍용) 체어맨 H 뉴 클래식 500S 최고급형,14년 9월식(15년형),"24,932km",820만원
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,16년 11월식(17년형),"136,621km","1,120만원"
기아 더 뉴 K3 디럭스,18년 4월식,"100,779km",720만원
KG모빌리티(쌍용) 티볼리 LX 4WD 최고급형,16년 2월식,"67,558km",990만원
기아 더 뉴 레이 밴 (1인승) 프레스티지 스폐셜,22년 7월식,"87,499km",920만원
기아 올 뉴 모닝 (JA) 프레스티지,17년 11월식,"55,687km",930만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,20년 10월식(21년형),"161,802km","2,250만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄,20년 7월식(21년형),"86,777km","1,560만원"
KG모빌리티(쌍용) 더 뉴 티볼리 에어 가솔린 터보 1.5 A5 2WD,24년 7월식,"15,709km","1,890만원"
현대 쏘나타 DN8 2.0 가솔린 인스퍼레이션,19년 8월식(20년형),"108,956km","1,630만원"
기아 올 뉴 모닝 럭셔리,13년 9월식(14년형),"72,861km",580만원
기아 더 뉴 레이 밴 (2인승) 프레스티지,21년 11월식(22년형),"51,221km",880만원
KG모빌리티(쌍용) 뉴코란도 C 2.2 RX 4WD 최고급형,17년 1월식,"86,963km",850만원
현대 아반떼 AD 1.6 GDI 프리미엄,18년 2월식,"83,032km","1,230만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 7월식(21년형),"48,433km","1,740만원"
기아 더 뉴 카니발 4세대 디젤 2.2 9인승 시그니처,24년 11월식(25년형),"53,403km","3,980만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,14년 11월식(15년형),"109,640km",920만원
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 스페셜,15년 3월식,"98,213km","1,320만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 스타리아 디젤 2.2 라운지 2WD 9인승 인스퍼레이션,22년 6월식,"50,357km","3,390만원"
제네시스 G80 3.8 GDI AWD 프레스티지,17년 6월식(18년형),"95,744km","1,990만원"
현대 LF 쏘나타 하이브리드 2.0 HEV 스마트,15년 4월식,"32,032km","1,160만원"
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,18년 6월식(19년형),"108,559km","1,680만원"
기아 쏘울 부스터 1.6 T-GDI 프레스티지,19년 12월식,"100,478km","1,220만원"
기아 올 뉴 K7 2.4 GDI 프레스티지,16년 12월식,"67,137km","1,230만원"
현대 그랜저 IG 3.3 셀러브리티,19년 4월식,"133,163km","1,680만원"
기아 더 뉴 K5 3세대 가솔린 터보 1.6 노블레스,24년 8월식,"48,350km","2,570만원"
현대 캐스퍼 가솔린 1.0 터보 디 에센셜,23년 8월식(24년형),"20,977km","1,630만원"
현대 디 올 뉴 싼타페 가솔린 2.5 터보 2WD 캘리그래피,25년 2월식,"19,846km","3,780만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄,20년 4월식,"127,058km","1,270만원"
현대 베뉴 1.6 플럭스,19년 7월식(20년형),"52,650km","1,520만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.6 디젤 2WD V3,19년 6월식(20년형),"108,232km",890만원
현대 베뉴 1.6 모던,21년 3월식,"88,081km","1,520만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,19년 6월식(20년형),"85,666km","2,190만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,22년 2월식(23년형),"43,840km","1,560만원"
현대 투싼 (4세대) 2.0 디젤 모던,23년 5월식,"47,696km","2,280만원"
현대 더 뉴 그랜저 가솔린 2.5 르블랑,21년 11월식(22년형),"82,032km","2,480만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,17년 12월식(18년형),"82,510km",830만원
쉐보레(GM대우) 더 넥스트 스파크 에코 LTZ,16년 5월식,"95,585km",600만원
제네시스 더 뉴 G70 가솔린 터보 2.0 AWD,21년 3월식,"33,620km","3,420만원"
KG모빌리티(쌍용) 렉스턴 스포츠 칸 디젤 2.2 4WD (다이내믹 5링크) 노블레스,20년 5월식,"71,934km","2,030만원"
지프 랭글러 (JL) 2.0 루비콘 4도어,24년 3월식,"26,378km","5,890만원"
기아 올 뉴 K3 프레스티지,19년 8월식(20년형),"25,077km","1,620만원"
현대 제네시스 DH G330 모던 AWD,16년 7월식,"69,749km","1,350만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,23년 4월식,"80,062km","2,710만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,20년 11월식(21년형),"101,609km","1,730만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 아이오닉 하이브리드 N 플러스,16년 2월식,"109,771km","1,160만원"
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 7월식,"98,604km","2,500만원"
쉐보레(GM대우) 스파크 LT 기본형,14년 1월식,"55,607km",430만원
현대 아이오닉 5 롱레인지 AWD 익스클루시브,22년 7월식,"29,459km","3,520만원"
기아 더 뉴 쏘렌토 가솔린 2.0 터보 4WD 노블레스,17년 11월식(18년형),"95,238km","1,860만원"
현대 i40 2.0 GDi 프리미엄,12년 1월식,"59,041km",890만원
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LT 디럭스,16년 10월식(17년형),"57,910km",960만원
기아 K5 2.0 럭셔리,11년 4월식,"74,280km",470만원
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,16년 7월식(17년형),"157,768km",730만원
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,22년 11월식(23년형),"68,193km","4,320만원"
현대 투싼 하이브리드 (4세대) 1.6 터보 2WD 인스퍼레이션,21년 11월식(22년형),"42,459km","2,920만원"
제네시스 GV70 가솔린 터보 2.5 2WD,24년 4월식,"16,122km","4,390만원"
기아 K5 3세대 하이브리드 시그니처,21년 11월식(22년형),"98,779km","2,330만원"
현대 그랜저 HG HG300 프리미엄,13년 5월식(14년형),"78,152km",850만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 3월식,"87,902km","2,350만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 프리미엄,18년 10월식(19년형),"112,690km","1,610만원"
기아 더 뉴 카니발 9인승 노블레스 스페셜,19년 10월식,"99,933km","1,770만원"
현대 아반떼 MD M16 GDI 에비뉴,13년 4월식,"37,325km",790만원
기아 K5 3세대 LPG 2.0 (렌터카) 트렌디,21년 2월식,"71,178km","1,620만원"
랜드로버 레인지로버 벨라 디젤 2.0 D240 R-다이나믹 SE,20년 8월식,"126,614km","2,850만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 모던,20년 7월식,"69,487km","1,610만원"
벤츠 GLE-클래스 W167 플러그인 하이브리드 4WD GLE350e 4MATIC 쿠페,22년 10월식,"26,899km","7,950만원"
쉐보레(GM대우) 올란도 LPG LTZ 세이프티,17년 9월식(18년형),"91,403km",840만원
현대 디 올 뉴 싼타페 가솔린 2.5 터보 AWD 캘리그래피,24년 2월식,"21,900km","3,950만원"
기아 더 뉴 레이 밴 (1인승) 프레스티지 스폐셜,22년 8월식,"18,500km","1,170만원"
기아 더 뉴 기아 레이 시그니처,23년 5월식,"29,824km","1,620만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄 밀레니얼,19년 4월식(20년형),"73,212km","1,770만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
미니 쿠퍼 (3세대 F/L) 클래식,24년 1월식,"13,887km","2,640만원"
BMW 5시리즈 (G30) 520d xDrive M 스포츠 플러스,18년 2월식,"101,439km","2,600만원"
현대 스타리아 디젤 2.2 카고 3인승 모던,22년 2월식,"125,397km","2,010만원"
쉐보레(GM대우) 트래버스 가솔린 4WD 3.6 AWD 레드라인,20년 5월식,"89,193km","2,190만원"
현대 LF 쏘나타 2.0 스타일 스페셜,16년 2월식,"61,572km","1,050만원"
기아 올 뉴 K7 3.0 GDI 리미티드,18년 7월식,"80,857km","1,560만원"
르노코리아(삼성) SM3 네오 SE 플러스,14년 8월식(15년형),"91,059km",450만원
르노코리아(삼성) SM6 2.0 GDe LE,17년 8월식,"135,223km",660만원
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,21년 12월식(22년형),"21,625km","2,490만원"
기아 K9 3.3 GDI 프레스티지 기본형,13년 1월식,"92,036km","1,060만원"
기아 더 뉴 기아 레이 프레스티지,24년 12월식(25년형),"15,998km","1,510만원"
현대 팰리세이드 가솔린 3.8 4WD VIP (7인승),21년 6월식,"78,311km","3,050만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,23년 1월식,"9,633km","3,520만원"
기아 더 뉴 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 노블레스,24년 2월식,"35,373km","3,510만원"
기아 올 뉴 K7 3.0 LPI 프레스티지,16년 9월식,"139,525km","1,180만원"
현대 아반떼 MD M16 GDI 탑,11년 10월식(12년형),"93,275km",570만원
현대 그랜저 HG HG240 모던,14년 9월식(15년형),"98,019km",770만원
현대 쏘나타 디 엣지 1.6 터보 인스퍼레이션,24년 11월식,"13,568km","3,080만원"
기아 K5 3세대 가솔린 2.0 시그니처,21년 3월식,"52,056km","2,390만원"
기아 올 뉴 K3 럭셔리,19년 5월식,"87,086km","1,250만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 밸류 플러스,17년 9월식(18년형),"45,398km","1,650만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,20년 10월식(21년형),"59,544km","2,230만원"
현대 올 뉴 투싼 가솔린 1.6 터보 2WD 스마트,17년 9월식(18년형),"81,972km","1,480만원"
기아 니로 노블레스,18년 4월식,"98,331km","1,560만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 노블레스,21년 1월식,"91,369km","2,380만원"
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,20년 9월식(21년형),"59,528km","1,730만원"
BMW 5시리즈 (G30) 520i 럭셔리,20년 8월식,"77,040km","2,830만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,22년 1월식,"99,801km","3,690만원"
미니 쿠퍼 (3세대 F/L) S 클래식,21년 11월식(22년형),"69,839km","2,120만원"
기아 K5 3세대 하이브리드 시그니처,23년 2월식,"44,345km","2,750만원"
기아 올 뉴 모닝 럭셔리,11년 4월식(12년형),"32,792km",610만원
BMW 5시리즈 (G30) 520i 럭셔리,19년 6월식,"102,744km","2,370만원"
현대 엑센트(신형) 1.4 VVT 스마트,16년 12월식(17년형),"67,766km",650만원
기아 디 올 뉴 니로 프레스티지,22년 4월식,"112,808km","1,880만원"
기아 K5 3세대 가솔린 2.0 프레스티지,20년 9월식,"46,660km","1,930만원"
제네시스 G80 3.8 GDI AWD 프레스티지,17년 3월식,"133,230km","1,690만원"
현대 올 뉴 투싼 디젤 1.7 2WD 모던,17년 3월식,"57,024km","1,320만원"
기아 올 뉴 K7 2.4 월드컵 에디션,18년 6월식,"103,901km","1,490만원"
아우디 A4 (B9) 40 TFSI 프리미엄,21년 11월식,"21,484km","2,740만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,22년 7월식(23년형),"40,899km","1,930만원"
현대 LF 쏘나타 하이브리드 2.0 HEV 모던,16년 7월식,"74,683km","1,120만원"
현대 그랜드 스타렉스 11인승 왜건 스마트,16년 11월식(17년형),"48,863km","1,540만원"
현대 올 뉴 투싼 디젤 2.0 2WD 모던,16년 2월식,"123,647km","1,220만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,22년 1월식,"27,214km","1,570만원"
기아 K7 프리미어 가솔린 3.0 노블레스,19년 7월식(20년형),"141,135km","1,690만원"
르노코리아(삼성) SM5 노바 클래식,17년 2월식,"16,098km",720만원
기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,18년 1월식,"62,525km","1,550만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,19년 10월식,"139,544km","1,550만원"
기아 더 뉴 기아 레이 프레스티지,23년 3월식,"6,383km","1,650만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,22년 12월식(23년형),"41,170km","2,090만원"
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,18년 10월식(19년형),"138,295km","1,260만원"
기아 더 K9 3.3 T-GDI AWD 그랜드 마스터즈,20년 2월식,"79,964km","3,330만원"
현대 더 뉴 그랜저 가솔린 3.3 르블랑,21년 9월식(22년형),"30,711km","2,590만원"
현대 투싼 (4세대) 1.6 터보 프리미엄,21년 5월식,"61,740km","2,420만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 아반떼 MD M16 GDI 럭셔리,12년 3월식,"23,278km",610만원
쉐보레(GM대우) 올란도 2.0 디젤 LTZ 프리미엄,12년 5월식,"95,558km",450만원
현대 YF 쏘나타 Y20 그랜드,10년 11월식(11년형),"31,733km",510만원
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,20년 9월식(21년형),"95,433km","3,630만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 1 밀리언,17년 2월식(18년형),"77,629km","1,380만원"
BMW X1 (F48) xDrive 20i xLine,21년 1월식,"24,185km","3,040만원"
기아 K3 유로 트렌디,14년 8월식(15년형),"119,386km",630만원
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 4월식,"73,588km","1,620만원"
기아 카니발 (4세대) 디젤 2.2 (7인승) 시그니처,21년 3월식,"175,382km","2,280만원"
현대 팰리세이드 디젤 2.2 2WD 익스클루시브 (7인승),21년 11월식(22년형),"72,736km","2,690만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 3월식,"127,530km","2,040만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 3월식(18년형),"115,524km","1,360만원"
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,14년 2월식,"127,417km",650만원
기아 니로 프레스티지,18년 4월식,"61,976km","1,470만원"
르노코리아(삼성) SM6 2.0 GDe RE,17년 12월식,"66,188km",950만원
기아 더 뉴 기아 레이 프레스티지,23년 12월식(24년형),"1,688km","1,620만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,22년 4월식,"33,661km","2,630만원"
현대 쏘나타 뉴 라이즈 LPI 모던,17년 7월식(18년형),"113,570km","1,100만원"
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,17년 8월식(18년형),"112,032km","1,790만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5,21년 1월식,"69,852km","1,470만원"
르노코리아(삼성) 뉴QM3 RE 파노라믹 에디션,18년 11월식(19년형),"81,695km",950만원
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,18년 10월식(19년형),"85,791km","1,320만원"
르노코리아(삼성) SM5 노바 클래식,19년 6월식,"51,210km",860만원
기아 올 뉴 카니발 11인승 프레스티지,14년 11월식(15년형),"114,540km","1,090만원"
폭스바겐 T-Roc 2.0 디젤 프레스티지,21년 1월식,"7,286km","2,650만원"
기아 올 뉴 K3 스탠다드,21년 5월식,"71,320km","1,200만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,22년 12월식(23년형),"73,084km","1,950만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 올 뉴 모닝 럭셔리,12년 12월식(13년형),"102,826km",490만원
기아 올 뉴 모닝 럭셔리,11년 6월식(12년형),"107,195km",490만원
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,18년 12월식(19년형),"76,463km","1,350만원"
KG모빌리티(쌍용) 티볼리 VX 2WD,17년 7월식,"43,971km","1,020만원"
기아 더 뉴 모닝 럭셔리,16년 12월식,"35,823km",730만원
현대 싼타페 더 프라임 가솔린 2.0 터보 2WD 밸류 플러스,17년 10월식(18년형),"79,523km","1,860만원"
현대 LF 쏘나타 2.0 프리미엄 스페셜,16년 5월식(17년형),"65,552km","1,270만원"
기아 K3 트렌디,14년 3월식,"105,663km",700만원
현대 쏘나타 뉴 라이즈 2.0 스마트,17년 10월식(18년형),"117,258km","1,100만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 세부등급 없음,17년 8월식,"93,748km",870만원
현대 엑센트(신형) 1.4 VVT 스마트스폐셜,18년 10월식(19년형),"81,839km",650만원
현대 더 뉴 아반떼 AD 1.6 스마트,19년 11월식(20년형),"62,397km","1,320만원"
제네시스 GV70 가솔린 터보 2.5 AWD,21년 10월식,"47,734km","4,290만원"
기아 K7 프리미어 하이브리드 프레스티지,20년 5월식,"81,724km","2,150만원"
현대 아반떼 AD 1.6 GDI 모던 세부등급 없음,16년 9월식(17년형),"116,351km",870만원
미니 쿠퍼 컨트리맨 (2세대 F/L) S ALL4 클래식 런치 팩,23년 6월식,"35,959km","3,400만원"
기아 올 뉴 K7 3.3 GDI 노블레스 세부등급 없음,16년 3월식,"113,351km","1,080만원"
르노코리아(삼성) 더 뉴 QM6 F/L LPG 2.0 (일반판매용) RE,24년 1월식,"27,202km","2,220만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,22년 1월식,"76,584km","1,770만원"
현대 쏘나타 뉴 라이즈 2.0 스마트 스페셜,19년 2월식,"17,535km","1,620만원"
BMW 3시리즈 GT (F34) GT 320d,19년 6월식,"84,193km","2,020만원"
현대 아반떼 AD 1.6 터보 스포츠 7DCT,17년 3월식,"135,147km",880만원
기아 더 뉴 레이 스탠다드,21년 8월식(22년형),"71,610km",910만원
기아 올 뉴 모닝 럭셔리,13년 11월식(14년형),"71,109km",660만원
현대 스타리아 디젤 2.2 투어러 (9인승) 2WD 모던,23년 1월식,"36,706km","2,870만원"
미니 쿠퍼 (3세대) 5도어 S 기본형,18년 5월식,"94,225km","1,390만원"
현대 더 뉴 아반떼 N 가솔린 터보 2.0,23년 10월식(24년형),"56,388km","2,550만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 프레스티지,21년 10월식,"63,732km","2,050만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,21년 4월식,"44,704km","3,770만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),22년 4월식,"59,637km","2,950만원"
현대 그랜저 (GN7) 가솔린 2.5 익스클루시브,24년 9월식(25년형),"10,513km","3,430만원"
현대 아반떼 AD 1.6 e-VGT 스마트 스페셜,15년 10월식(16년형),"131,087km",790만원
쉐보레(GM대우) 말리부 2.0 디젤 LT 디럭스팩,14년 9월식(15년형),"40,925km",730만원
기아 K3 노블레스,15년 2월식,"119,170km",790만원
기아 올 뉴 K7 2.4 GDI 리미티드,17년 9월식,"139,649km","1,070만원"
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 7월식,"109,854km","1,290만원"
현대 더 뉴 아반떼 1.6 GDi 텐밀리언 리미티드 기본형,15년 7월식(16년형),"95,420km",830만원
기아 더 뉴 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 그래비티,24년 2월식,"33,692km","3,850만원"
현대 벨로스터-N T-Gdi 2.0 N,21년 2월식,"98,145km","2,180만원"
르노코리아(삼성) QM5 네오 가솔린 2WD LE,14년 12월식,"56,310km",790만원
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,14년 9월식(15년형),"63,803km","1,190만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,18년 2월식,"35,225km","1,770만원"
볼보 V90 크로스컨트리 B5 얼티메이트 AWD,23년 10월식(24년형),"29,369km","4,980만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,13년 11월식(14년형),"115,678km",980만원
르노코리아(삼성) SM6 2.0 LPe RE (장애인용),16년 5월식,"125,175km",840만원
기아 K5 3세대 가솔린 터보 1.6 노블레스,21년 2월식,"79,950km","2,090만원"
현대 아반떼 (CN7) 가솔린 1.6 터보 (N라인) 인스퍼레이션,21년 3월식,"80,813km","1,800만원"
BMW X6 (G06) 디젤 4WD xDrive 30d M 스포츠,23년 2월식,"93,343km","6,850만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 시그니처,22년 9월식(23년형),"36,834km","3,230만원"
현대 코나 1.6 터보 2WD 모던 초이스,20년 2월식,"103,410km","1,520만원"
기아 더 뉴 쏘렌토 디젤 2.2 2WD 마스터 스페셜,19년 3월식(20년형),"91,137km","1,990만원"
쉐보레(GM대우) 스파크 스파크 S LT,13년 12월식(14년형),"87,578km",400만원
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 2월식,"109,934km","2,290만원"
